Question_number;Question;NumCorrect;Answer1;Answer2;Answer3;Answer4;Answer5;Answer6;Correct;Explanation
37;"Flowlogistic Case Study -<br>Company Overview -<br>Flowlogistic is a leading logistics and supply chain provider. They help businesses throughout the world manage their resources and transport them to their final destination. The company has grown rapidly, expanding their offerings to include rail, truck, aircraft, and oceanic shipping.<br>Company Background -<br>The company started as a regional trucking company, and then expanded into other logistics market. Because they have not updated their infrastructure, managing and tracking orders and shipments has become a bottleneck. To improve operations, Flowlogistic developed proprietary technology for tracking shipments in real time at the parcel level. However, they are unable to deploy it because their technology stack, based on Apache Kafka, cannot support the processing volume. In addition, Flowlogistic wants to further analyze their orders and shipments to determine how best to deploy their resources.<br>Solution Concept -<br>Flowlogistic wants to implement two concepts using the cloud:<br>=> Use their proprietary technology in a real-time inventory-tracking system that indicates the location of their loads<br>=> Perform analytics on all their orders and shipment logs, which contain both structured and unstructured data, to determine how best to deploy resources, which markets to expand info. They also want to use predictive analytics to learn earlier when a shipment will be delayed.<br>Existing Technical Environment -<br>Flowlogistic architecture resides in a single data center:<br>=> Databases<br>8 physical servers in 2 clusters<br>- SQL Server `"" user data, inventory, static data<br>3 physical servers<br>- Cassandra `"" metadata, tracking messages<br>10 Kafka servers `"" tracking message aggregation and batch insert<br>=> Application servers `"" customer front end, middleware for order/customs<br>60 virtual machines across 20 physical servers<br>- Tomcat `"" Java services<br>- Nginx `"" static content<br>- Batch servers<br>=> Storage appliances<br>- iSCSI for virtual machine (VM) hosts<br>- Fibre Channel storage area network (FC SAN) `"" SQL server storage<br>- Network-attached storage (NAS) image storage, logs, backups<br>=> 10 Apache Hadoop /Spark servers<br>- Core Data Lake<br>- Data analysis workloads<br>=> 20 miscellaneous servers<br>- Jenkins, monitoring, bastion hosts,<br>Business Requirements -<br>=> Build a reliable and reproducible environment with scaled panty of production.<br>=> Aggregate data in a centralized Data Lake for analysis<br>=> Use historical data to perform predictive analytics on future shipments<br>=> Accurately track every shipment worldwide using proprietary technology<br>=> Improve business agility and speed of innovation through rapid provisioning of new resources<br>=> Analyze and optimize architecture for performance in the cloud<br>=> Migrate fully to the cloud if all other requirements are met<br>Technical Requirements -<br>=> Handle both streaming and batch data<br>=> Migrate existing Hadoop workloads<br>=> Ensure architecture is scalable and elastic to meet the changing demands of the company.<br>=> Use managed services whenever possible<br>=> Encrypt data flight and at rest<br>=> Connect a VPN between the production data center and cloud environment<br>SEO Statement -<br>We have grown so quickly that our inability to upgrade our infrastructure is really hampering further growth and efficiency. We are efficient at moving shipments around the world, but we are inefficient at moving data around.<br>We need to organize our information so we can more easily understand where our customers are and what they are shipping.<br>CTO Statement -<br>IT has never been a priority for us, so as our data has grown, we have not invested enough in our technology. I have a good staff to manage IT, but they are so busy managing our infrastructure that I cannot get them to do the things that really matter, such as organizing our data, building the analytics, and figuring out how to implement the CFO' s tracking technology.<br>CFO Statement -<br>Part of our competitive advantage is that we penalize ourselves for late shipments and deliveries. Knowing where out shipments are at all times has a direct correlation to our bottom line and profitability. Additionally, I don't want to commit capital to building out a server environment.<br>Flowlogistic is rolling out their real-time inventory tracking system. The tracking devices will all send package-tracking messages, which will now go to a single<br>Google Cloud Pub/Sub topic instead of the Apache Kafka cluster. A subscriber application will then process the messages for real-time reporting and store them in<br>Google BigQuery for historical analysis. You want to ensure the package data can be analyzed over time.<br>Which approach should you take? <br>";1;A. Attach the timestamp on each message in the Cloud Pub/Sub subscriber application as they are received.;B. Attach the timestamp and Package ID on the outbound message from each publisher device as they are sent to Clod Pub/Sub.;C. Use the NOW () function in BigQuery to record the event's time.;D. Use the automatically generated timestamp from Cloud Pub/Sub to order the data.;;;B. Attach the timestamp and Package ID on the outbound message from each publisher device as they are sent to Clod Pub/Sub.;
38;"MJTelco Case Study -<br>Company Overview -<br>MJTelco is a startup that plans to build networks in rapidly growing, underserved markets around the world. The company has patents for innovative optical communications hardware. Based on these patents, they can create many reliable, high-speed backbone links with inexpensive hardware.<br>Company Background -<br>Founded by experienced telecom executives, MJTelco uses technologies originally developed to overcome communications challenges in space. Fundamental to their operation, they need to create a distributed data infrastructure that drives real-time analysis and incorporates machine learning to continuously optimize their topologies. Because their hardware is inexpensive, they plan to overdeploy the network allowing them to account for the impact of dynamic regional politics on location availability and cost.<br>Their management and operations teams are situated all around the globe creating many-to-many relationship between data consumers and provides in their system. After careful consideration, they decided public cloud is the perfect environment to support their needs.<br>Solution Concept -<br>MJTelco is running a successful proof-of-concept (PoC) project in its labs. They have two primary needs:<br>? Scale and harden their PoC to support significantly more data flows generated when they ramp to more than 50,000 installations.<br>? Refine their machine-learning cycles to verify and improve the dynamic models they use to control topology definition.<br>MJTelco will also use three separate operating environments `"" development/test, staging, and production `"" to meet the needs of running experiments, deploying new features, and serving production customers.<br>Business Requirements -<br>? Scale up their production environment with minimal cost, instantiating resources when and where needed in an unpredictable, distributed telecom user community.<br>? Ensure security of their proprietary data to protect their leading-edge machine learning and analysis.<br>? Provide reliable and timely access to data for analysis from distributed research workers<br>? Maintain isolated environments that support rapid iteration of their machine-learning models without affecting their customers.<br>Technical Requirements -<br>? Ensure secure and efficient transport and storage of telemetry data<br>? Rapidly scale instances to support between 10,000 and 100,000 data providers with multiple flows each.<br>? Allow analysis and presentation against data tables tracking up to 2 years of data storing approximately 100m records/day<br>? Support rapid iteration of monitoring infrastructure focused on awareness of data pipeline problems both in telemetry flows and in production learning cycles.<br>CEO Statement -<br>Our business model relies on our patents, analytics and dynamic machine learning. Our inexpensive hardware is organized to be highly reliable, which gives us cost advantages. We need to quickly stabilize our large distributed data pipelines to meet our reliability and capacity commitments.<br>CTO Statement -<br>Our public cloud services must operate as advertised. We need resources that scale and keep our data secure. We also need environments in which our data scientists can carefully study and quickly adapt our models. Because we rely on automation to process our data, we also need our development and test environments to work as we iterate.<br>CFO Statement -<br>The project is too large for us to maintain the hardware and software required for the data and analysis. Also, we cannot afford to staff an operations team to monitor so many data feeds, so we will rely on automation and infrastructure. Google Cloud's machine learning will allow our quantitative researchers to work on our high-value problems instead of problems with our data pipelines.<br>MJTelco's Google Cloud Dataflow pipeline is now ready to start receiving data from the 50,000 installations. You want to allow Cloud Dataflow to scale its compute power up as required. Which Cloud Dataflow pipeline configuration setting should you update?";1;A. The zone;B. The number of workers;C. The disk size per worker;D. The maximum number of workers;;;D. The maximum number of workers;
39;"MJTelco Case Study -<br>Company Overview -<br>MJTelco is a startup that plans to build networks in rapidly growing, underserved markets around the world. The company has patents for innovative optical communications hardware. Based on these patents, they can create many reliable, high-speed backbone links with inexpensive hardware.<br>Company Background -<br>Founded by experienced telecom executives, MJTelco uses technologies originally developed to overcome communications challenges in space. Fundamental to their operation, they need to create a distributed data infrastructure that drives real-time analysis and incorporates machine learning to continuously optimize their topologies. Because their hardware is inexpensive, they plan to overdeploy the network allowing them to account for the impact of dynamic regional politics on location availability and cost.<br>Their management and operations teams are situated all around the globe creating many-to-many relationship between data consumers and provides in their system. After careful consideration, they decided public cloud is the perfect environment to support their needs.<br>Solution Concept -<br>MJTelco is running a successful proof-of-concept (PoC) project in its labs. They have two primary needs:<br>=> Scale and harden their PoC to support significantly more data flows generated when they ramp to more than 50,000 installations.<br>=> Refine their machine-learning cycles to verify and improve the dynamic models they use to control topology definition.<br>MJTelco will also use three separate operating environments `"" development/test, staging, and production `"" to meet the needs of running experiments, deploying new features, and serving production customers.<br>Business Requirements -<br>=> Scale up their production environment with minimal cost, instantiating resources when and where needed in an unpredictable, distributed telecom user community.<br>=> Ensure security of their proprietary data to protect their leading-edge machine learning and analysis.<br>=> Provide reliable and timely access to data for analysis from distributed research workers<br>Maintain isolated environments that support rapid iteration of their machine-learning models without affecting their customers.<br>Technical Requirements -<br>=> Ensure secure and efficient transport and storage of telemetry data<br>=> Rapidly scale instances to support between 10,000 and 100,000 data providers with multiple flows each.<br>=> Allow analysis and presentation against data tables tracking up to 2 years of data storing approximately 100m records/day<br>=> Support rapid iteration of monitoring infrastructure focused on awareness of data pipeline problems both in telemetry flows and in production learning cycles.<br>CEO Statement -<br>Our business model relies on our patents, analytics and dynamic machine learning. Our inexpensive hardware is organized to be highly reliable, which gives us cost advantages. We need to quickly stabilize our large distributed data pipelines to meet our reliability and capacity commitments.<br>CTO Statement -<br>Our public cloud services must operate as advertised. We need resources that scale and keep our data secure. We also need environments in which our data scientists can carefully study and quickly adapt our models. Because we rely on automation to process our data, we also need our development and test environments to work as we iterate.<br>CFO Statement -<br>The project is too large for us to maintain the hardware and software required for the data and analysis. Also, we cannot afford to staff an operations team to monitor so many data feeds, so we will rely on automation and infrastructure. Google Cloud's machine learning will allow our quantitative researchers to work on our high-value problems instead of problems with our data pipelines.<br>You need to compose visualizations for operations teams with the following requirements:<br>=> The report must include telemetry data from all 50,000 installations for the most resent 6 weeks (sampling once every minute).<br>=> The report must not be more than 3 hours delayed from live data.<br>=> The actionable report should only show suboptimal links.<br>=> Most suboptimal links should be sorted to the top.<br>=> Suboptimal links can be grouped and filtered by regional geography.<br>=> User response time to load the report must be <5 seconds.<br>Which approach meets the requirements?";1;A. Load the data into Google Sheets, use formulas to calculate a metric, and use filters/sorting to show only suboptimal links in a table.;B. Load the data into Google BigQuery tables, write Google Apps Script that queries the data, calculates the metric, and shows only suboptimal rows in a table in Google Sheets.;C. Load the data into Google Cloud Datastore tables, write a Google App Engine Application that queries all rows, applies a function to derive the metric, and then renders results in a table using the Google charts and visualization API.;D. Load the data into Google BigQuery tables, write a Google Data Studio 360 report that connects to your data, calculates a metric, and then uses a filter expression to show only suboptimal rows in a table.;;;D. Load the data into Google BigQuery tables, write a Google Data Studio 360 report that connects to your data, calculates a metric, and then uses a filter expression to show only suboptimal rows in a table.;
40;"MJTelco Case Study -<br>Company Overview -<br>MJTelco is a startup that plans to build networks in rapidly growing, underserved markets around the world. The company has patents for innovative optical communications hardware. Based on these patents, they can create many reliable, high-speed backbone links with inexpensive hardware.<br>Company Background -<br>Founded by experienced telecom executives, MJTelco uses technologies originally developed to overcome communications challenges in space. Fundamental to their operation, they need to create a distributed data infrastructure that drives real-time analysis and incorporates machine learning to continuously optimize their topologies. Because their hardware is inexpensive, they plan to overdeploy the network allowing them to account for the impact of dynamic regional politics on location availability and cost.<br>Their management and operations teams are situated all around the globe creating many-to-many relationship between data consumers and provides in their system. After careful consideration, they decided public cloud is the perfect environment to support their needs.<br>Solution Concept -<br>MJTelco is running a successful proof-of-concept (PoC) project in its labs. They have two primary needs:<br>=> Scale and harden their PoC to support significantly more data flows generated when they ramp to more than 50,000 installations.<br>=> Refine their machine-learning cycles to verify and improve the dynamic models they use to control topology definition.<br>MJTelco will also use three separate operating environments `"" development/test, staging, and production `"" to meet the needs of running experiments, deploying new features, and serving production customers.<br>Business Requirements -<br>=> Scale up their production environment with minimal cost, instantiating resources when and where needed in an unpredictable, distributed telecom user community.<br>=> Ensure security of their proprietary data to protect their leading-edge machine learning and analysis.<br>Provide reliable and timely access to data for analysis from distributed research workers<br>=> Maintain isolated environments that support rapid iteration of their machine-learning models without affecting their customers.<br>Technical Requirements -<br>=> Ensure secure and efficient transport and storage of telemetry data<br>=> Rapidly scale instances to support between 10,000 and 100,000 data providers with multiple flows each.<br>=> Allow analysis and presentation against data tables tracking up to 2 years of data storing approximately 100m records/day<br>=> Support rapid iteration of monitoring infrastructure focused on awareness of data pipeline problems both in telemetry flows and in production learning cycles.<br>CEO Statement -<br>Our business model relies on our patents, analytics and dynamic machine learning. Our inexpensive hardware is organized to be highly reliable, which gives us cost advantages. We need to quickly stabilize our large distributed data pipelines to meet our reliability and capacity commitments.<br>CTO Statement -<br>Our public cloud services must operate as advertised. We need resources that scale and keep our data secure. We also need environments in which our data scientists can carefully study and quickly adapt our models. Because we rely on automation to process our data, we also need our development and test environments to work as we iterate.<br>CFO Statement -<br>The project is too large for us to maintain the hardware and software required for the data and analysis. Also, we cannot afford to staff an operations team to monitor so many data feeds, so we will rely on automation and infrastructure. Google Cloud's machine learning will allow our quantitative researchers to work on our high-value problems instead of problems with our data pipelines.<br>You create a new report for your large team in Google Data Studio 360. The report uses Google BigQuery as its data source. It is company policy to ensure employees can view only the data associated with their region, so you create and populate a table for each region. You need to enforce the regional access policy to the data.<br>Which two actions should you take? (Choose two.)";2;A. Ensure all the tables are included in global dataset.;B. Ensure each table is included in a dataset for a region.;C. Adjust the settings for each table to allow a related region-based security group view access.;D. Adjust the settings for each view to allow a related region-based security group view access.;E. Adjust the settings for each dataset to allow a related region-based security group view access.;;B. Ensure each table is included in a dataset for a region.|E. Adjust the settings for each dataset to allow a related region-based security group view access.;
41;"MJTelco Case Study -<br>Company Overview -<br>MJTelco is a startup that plans to build networks in rapidly growing, underserved markets around the world. The company has patents for innovative optical communications hardware. Based on these patents, they can create many reliable, high-speed backbone links with inexpensive hardware.<br>Company Background -<br>Founded by experienced telecom executives, MJTelco uses technologies originally developed to overcome communications challenges in space. Fundamental to their operation, they need to create a distributed data infrastructure that drives real-time analysis and incorporates machine learning to continuously optimize their topologies. Because their hardware is inexpensive, they plan to overdeploy the network allowing them to account for the impact of dynamic regional politics on location availability and cost.<br>Their management and operations teams are situated all around the globe creating many-to-many relationship between data consumers and provides in their system. After careful consideration, they decided public cloud is the perfect environment to support their needs.<br>Solution Concept -<br>MJTelco is running a successful proof-of-concept (PoC) project in its labs. They have two primary needs:<br>=> Scale and harden their PoC to support significantly more data flows generated when they ramp to more than 50,000 installations.<br>=> Refine their machine-learning cycles to verify and improve the dynamic models they use to control topology definition.<br>MJTelco will also use three separate operating environments `"" development/test, staging, and production `"" to meet the needs of running experiments, deploying new features, and serving production customers.<br>Business Requirements -<br>=> Scale up their production environment with minimal cost, instantiating resources when and where needed in an unpredictable, distributed telecom user community.<br>=> Ensure security of their proprietary data to protect their leading-edge machine learning and analysis.<br>=> Provide reliable and timely access to data for analysis from distributed research workers<br>=> Maintain isolated environments that support rapid iteration of their machine-learning models without affecting their customers.<br>Technical Requirements -<br>Ensure secure and efficient transport and storage of telemetry data<br>=> Rapidly scale instances to support between 10,000 and 100,000 data providers with multiple flows each.<br>=> Allow analysis and presentation against data tables tracking up to 2 years of data storing approximately 100m records/day<br>=> Support rapid iteration of monitoring infrastructure focused on awareness of data pipeline problems both in telemetry flows and in production learning cycles.<br>CEO Statement -<br>Our business model relies on our patents, analytics and dynamic machine learning. Our inexpensive hardware is organized to be highly reliable, which gives us cost advantages. We need to quickly stabilize our large distributed data pipelines to meet our reliability and capacity commitments.<br>CTO Statement -<br>Our public cloud services must operate as advertised. We need resources that scale and keep our data secure. We also need environments in which our data scientists can carefully study and quickly adapt our models. Because we rely on automation to process our data, we also need our development and test environments to work as we iterate.<br>CFO Statement -<br>The project is too large for us to maintain the hardware and software required for the data and analysis. Also, we cannot afford to staff an operations team to monitor so many data feeds, so we will rely on automation and infrastructure. Google Cloud's machine learning will allow our quantitative researchers to work on our high-value problems instead of problems with our data pipelines.<br>MJTelco needs you to create a schema in Google Bigtable that will allow for the historical analysis of the last 2 years of records. Each record that comes in is sent every 15 minutes, and contains a unique identifier of the device and a data record. The most common query is for all the data for a given device for a given day.<br>Which schema should you use?";1;A. Rowkey: date#device_id Column data: data_point;B. Rowkey: date Column data: device_id, data_point;C. Rowkey: device_id Column data: date, data_point;D. Rowkey: data_point Column data: device_id, date;E. Rowkey: date#data_point Column data: device_id;;A. Rowkey: date#device_id Column data: data_point;
42;Your company has recently grown rapidly and now ingesting data at a significantly higher rate than it was previously. You manage the daily batch MapReduce analytics jobs in Apache Hadoop. However, the recent increase in data has meant the batch jobs are falling behind. You were asked to recommend ways the development team could increase the responsiveness of the analytics without increasing costs. What should you recommend they do?;1;Rewrite the job in Pig.;Rewrite the job in Apache Spark.;Increase the size of the Hadoop cluster.;Decrease the size of the Hadoop cluster but also rewrite the job in Hive.;;;Rewrite the job in Apache Spark.;Apache Spark is known for its performance advantages over traditional MapReduce jobs in Hadoop. It uses in-memory processing which greatly improves the speed of iterative algorithms and interactive data mining tasks. Hence, rewriting the job in Apache Spark can enhance the responsiveness of the analytics
43;You work for a large fast food restaurant chain with over 400,000 employees. You store employee information in Google BigQuery in a Users table consisting of a FirstName field and a LastName field. A member of IT is building an application and asks you to modify the schema and data in BigQuery so the application can query a FullName field consisting of the value of the FirstName field concatenated with a space, followed by the value of the LastName field for each employee. How can you make that data available while minimizing cost?;1;Create a view in BigQuery that concatenates the FirstName and LastName field values to produce the FullName.;Add a new column called FullName to the Users table. Run an UPDATE statement that updates the FullName column for each user with the concatenation of the FirstName and LastName values.;Create a Google Cloud Dataflow job that queries BigQuery for the entire Users table, concatenates the FirstName value and LastName value for each user, and loads the proper values for FirstName, LastName, and FullName into a new table in BigQuery.;Use BigQuery to export the data for the table to a CSV file. Create a Google Cloud Dataproc job to process the CSV file and output a new CSV file containing the proper values for FirstName, LastName and FullName. Run a BigQuery load job to load the new CSV file into BigQuery.;;;Create a view in BigQuery that concatenates the FirstName and LastName field values to produce the FullName.;Creating a view in BigQuery that concatenates the FirstName and LastName fields to produce the FullName is the most cost-effective solution. This approach doesn't require additional storage or data processing resources as it computes the FullName on the fly when the view is queried.
44;You are deploying a new storage system for your mobile application, which is a media streaming service.<br> You decide the best fit is Google Cloud Datastore.<br> You have entities with multiple properties, some of which can take on multiple values. For example, in the entity 'Movie' the property 'actors' and the property 'tags' have multiple values but the property 'date released' does not. A typical query would ask for all movies with actor=<actorname> ordered by date_released or all movies with tag=Comedy ordered by date_released. How should you avoid a combinatorial explosion in the number of indexes?;1;"Manually configure the index in your index config as follows : <img src=""https://www.examtopics.com/assets/media/exam-media/03098/0003600001.png>";"Manually configure the index in your index config as follows:  <img src=""https://www.examtopics.com/assets/media/exam-media/03098/0003600002.png>";Set the following in your entity options: exclude_from_indexes \= 'actors, tags';Set the following in your entity options\: exclude_from_indexes \= 'date_published';;;Manually configure the index in your index config as follows: ;In Google Cloud Datastore, you need to manually configure your indexes to manage the properties that you want to be indexed. This will allow you to efficiently query your data while avoiding the combinatorial explosion in the number of indexes <br> link :https://www.examtopics.com/exams/google/professional-data-engineer/view/9/
45;You work for a manufacturing plant that batches application log files together into a single log file once a day at 2:<br>00 AM. You have written a Google Cloud Dataflow job to process that log file. You need to make sure the log file in processed once per day as inexpensively as possible. What should you do?;1;Change the processing job to use Google Cloud Dataproc instead.;Manually start the Cloud Dataflow job each morning when you get into the office.;Create a cron job with Google App Engine Cron Service to run the Cloud Dataflow job.;Configure the Cloud Dataflow job as a streaming job so that it processes the log data immediately.;;;Create a cron job with Google App Engine Cron Service to run the Cloud Dataflow job.;To automate the process and run it at a specific time daily, it would be best to create a cron job using Google App Engine's Cron Service. This would ensure the job is run only once daily at a specified time, reducing costs associated with unnecessary or repeated computations.
46;You work for an economic consulting firm that helps companies identify economic trends as they happen. As part of your analysis, you use Google BigQuery to correlate customer data with the average prices of the 100 most common goods sold, including bread, gasoline, milk, and others. The average prices of these goods are updated every 30 minutes. You want to make sure this data stays up to date so you can combine it with other data in BigQuery as cheaply as possible. What should you do?;1;Load the data every 30 minutes into a new partitioned table in BigQuery.;Store and update the data in a regional Google Cloud Storage bucket and create a federated data source in BigQuery;Store the data in Google Cloud Datastore. Use Google Cloud Dataflow to query BigQuery and combine the data programmatically with the data stored in Cloud Datastore;Store the data in a file in a regional Google Cloud Storage bucket. Use Cloud Dataflow to query BigQuery and combine the data programmatically with the data stored in Google Cloud Storage.;;;Store and update the data in a regional Google Cloud Storage bucket and create a federated data source in BigQuery;With federated data sources in BigQuery, you can analyze data across different data repositories with SQL queries. So, you can keep your data in Google Cloud Storage (GCS), and update it as required. Then, you can use BigQuery to run analytics on this data directly from GCS without the need to load the data into BigQuery. This provides cost benefits and ensures the data stays up to date.
47;You are designing the database schema for a machine learning-based food ordering service that will predict what users want to eat. Here is some of the information you need to store:<br> The user profile:<br> What the user likes and doesn't like to eat<br> The user account information:<br> Name, address, preferred meal times<br> The order information:<br> When orders are made, from where, to whom. The database will be used to store all the transactional data of the product. You want to optimize the data schema. Which Google Cloud Platform product should you use?;1;BigQuery;Cloud SQL;Cloud Bigtable;Cloud Datastore;;;Cloud SQL;Cloud SQL is a fully-managed relational database service, making it a good fit for this use case. You have a structured dataset with complex relationships among data entities (user profile, user account information, and order information). Cloud SQL, offering both MySQL and PostgreSQL, supports complex transactions and sophisticated queries, making it a good fit for storing transactional data.
48;Your company is loading comma-separated values (CSV) files into Google BigQuery. The data is fully imported successfully, however, the imported data is not matching byte-to-byte to the source file. What is the most likely cause of this problem?;1;The CSV data loaded in BigQuery is not flagged as CSV;The CSV data has invalid rows that were skipped on import;The CSV data loaded in BigQuery is not using BigQuery's default encoding;The CSV data has not gone through an ETL phase before loading into BigQuery;;;The CSV data loaded in BigQuery is not using BigQuery's default encoding;BigQuery expects CSV data to be UTF-8 encoded. If your data uses a different encoding, it can lead to discrepancies between the source file and the imported data in BigQuery
49;Your company produces 20,000 files every hour. Each data file is formatted as a comma separated values (CSV) file that is less than 4 KB. All files must be ingested on Google Cloud Platform before they can be processed. Your company site has a 200 ms latency to Google Cloud, and your Internet connection bandwidth is limited as 50 Mbps. You currently deploy a secure FTP (SFTP) server on a virtual machine in Google Compute Engine as the data ingestion point. A local SFTP client runs on a dedicated machine to transmit the CSV files as is. The goal is to make reports with data from the previous day available to the executives by 10:<br>00 a.m. each day. This design is barely able to keep up with the current volume, even though the bandwidth utilization is rather low. You are told that due to seasonality, your company expects the number of files to double for the next three months. Which two actions should you take? (Choose two.);2;Introduce data compression for each file to increase the rate file of file transfer;Contact your internet service provider (ISP) to increase your maximum bandwidth to at least 100 Mbps;Redesign the data ingestion process to use gsutil tool to send the CSV files to a storage bucket in parallel;Assemble 1,000 files into a tape archive (TAR) file. Transmit the TAR files instead, and disassemble the CSV files in the cloud upon receiving them;Create an S3-compatible storage endpoint in your network, and use Google Cloud Storage Transfer Service to transfer on-premises data to the designated storage bucket.;;Redesign the data ingestion process to use gsutil tool to send the CSV files to a storage bucket in parallel|Assemble 1,000 files into a tape archive (TAR) file. Transmit the TAR files instead, and disassemble the CSV files in the cloud upon receiving them.;Gsutil tool has parallel composite upload feature which increases the upload speed. Also, bundling the files into a single TAR file can decrease the number of connections needed, increasing transfer speed.
50;You are choosing a NoSQL database to handle telemetry data submitted from millions of Internet-of-Things (IoT) devices. The volume of data is growing at 100 TB per year, and each data entry has about 100 attributes. The data processing pipeline does not require atomicity, consistency, isolation, and durability (ACID). However, high availability and low latency are required. You need to analyze the data by querying against individual fields. Which three databases meet your requirements? (Choose three.);3;Redis;HBase;MySQL;MongoDB;Cassandra;HDFS with Hive;HBase|Cassandra|MongoDB;HBase, Cassandra, and MongoDB are all NoSQL databases that are designed to handle large amounts of data across many commodity servers, providing high availability with no single point of failure. They also allow for querying against individual fields, which is a requirement in this case.
51;You are training a spam classifier. You notice that you are overfitting the training data. Which three actions can you take to resolve this problem? (Choose three.);3;Get more training examples;Reduce the number of training examples;Use a smaller set of features;Use a larger set of features;Increase the regularization parameters;Decrease the regularization parameters;Get more training examples|Use a smaller set of features|Increase the regularization parameters;When a model is overfitting, it means it is performing well on the training data but not on the validation or test data. This usually happens when the model is too complex and is capturing the noise in the training data. To resolve this, you can get more training examples, use a simpler model with fewer features, or increase the regularization parameters to reduce the complexity of the model
52;You are implementing security best practices on your data pipeline. Currently, you are manually executing jobs as the Project Owner. You want to automate these jobs by taking nightly batch files containing non-public information from Google Cloud Storage, processing them with a Spark Scala job on a Google Cloud Dataproc cluster, and depositing the results into Google BigQuery. How should you securely run this workload?;1;Restrict the Google Cloud Storage bucket so only you can see the files;Grant the Project Owner role to a service account, and run the job with it;Use a service account with the ability to read the batch files and to write to BigQuery;Use a user account with the Project Viewer role on the Cloud Dataproc cluster to read the batch files and write to BigQuery;;;Use a service account with the ability to read the batch files and to write to BigQuery;Using a service account with the necessary read and write permissions is a best practice as it limits the scope of permissions and follows the principle of least privilege. This means that the service account has only the permissions it needs to perform the tasks it is responsible for, and no more, reducing the potential damage if its credentials are compromised.
53;You are using Google BigQuery as your data warehouse. Your users report that the following simple query is running very slowly, no matter when they run the query:<br> SELECT country, state, city FROM [myproject:<br>mydataset.mytable] GROUP BY country You check the query plan for the query and see the following output in the Read section of Stage:<br>1: <br><img src='https://www.examtopics.com/assets/media/exam-media/04341/0004200001.jpg'><br>What is the most likely cause of the delay for this query?;1;Users are running too many concurrent queries in the system;The [myproject:mydataset.mytable] table has too many partitions;Either the state or the city columns in the [myproject:mydataset.mytable] table have too many NULL values;Most rows in the [myproject:mydataset.mytable] table have the same value in the country column, causing data skew;;;Most rows in the [myproject:mydataset.mytable] table have the same value in the country column, causing data skew;Data skew can occur when a large amount of data has the same value in one column, making it difficult to evenly distribute processing and causing certain operations to be slower.
54;Your globally distributed auction application allows users to bid on items. Occasionally, users place identical bids at nearly identical times, and different application servers process those bids. Each bid event contains the item, amount, user, and timestamp. You want to collate those bid events into a single location in real time to determine which user bid first. What should you do?;1;A. Create a file on a shared file and have the application servers write all bid events to that file. Process the file with Apache Hadoop to identify which user bid first.; B. Have each application server write the bid events to Cloud Pub/Sub as they occur. Push the events from Cloud Pub/Sub to a custom endpoint that writes the bid event information into Cloud SQL.; C. Set up a MySQL database for each application server to write bid events into. Periodically query each of those distributed MySQL databases and update a master MySQL database with bid event information.;D. Have each application server write the bid events to Google Cloud Pub/Sub as they occur. Use a pull subscription to pull the bid events using Google Cloud Dataflow. Give the bid for each item to the user in the bid event that is processed first.;;;D. Have each application server write the bid events to Google Cloud Pub/Sub as they occur. Use a pull subscription to pull the bid events using Google Cloud Dataflow. Give the bid for each item to the user in the bid event that is processed first.;Both options B and D use Google Cloud Pub/Sub to capture real-time bids, which is a good choice for this use case as Pub/Sub allows for the capture of high-volume, real-time data from various sources. However, there are important differences in the subsequent handling of data in these two options which leads to D being the preferred choice: 1. Data Processing: Option B uses a custom endpoint to write the bid event information into Cloud SQL. Custom endpoints often require additional setup and maintenance. More importantly, custom endpoints can become a bottleneck if they are not designed to handle high load, which might be the case in a globally distributed auction application. On the other hand, option D uses Google Cloud Dataflow, a serverless service designed for high-volume data processing tasks. Dataflow can handle complex transformations and analysis, which might be needed to determine the first bid. 2. Data Storage: Option B uses Cloud SQL as the storage solution. Cloud SQL is a fully managed relational database service, which is not ideally suited for real-time analytics. In contrast, option D does not specify a storage solution, but the use of Dataflow implies that data could be written to a system more suited for real-time analytics, such as BigQuery. 3. Event Ordering: The requirement is to determine which user bid first when identical bids are placed at nearly identical times. Cloud Dataflow has built-in capabilities to handle event time and processing time semantics, which is crucial in determining the order of bids accurately. This level of time-based ordering would be more challenging to achieve with a custom endpoint and Cloud SQL as described in option B. These factors make option D more suited to the task of processing and analyzing real-time bid data in a globally distributed auction application.
